date,fire_count,total_frp,burned_area,year_x,fire_count_baseline,total_frp_baseline,burned_area_baseline,fire_anomaly,frp_anomaly,burn_anomaly,aerosol_index,no2,co,year_y,co_baseline,no2_baseline,aerosol_index_baseline,co_anomaly,no2_anomaly,ai_anomaly
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-1.1536274814840992,4.076290565405041e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,1.0066897887920815e-06,-0.5441073999042612
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-1.153428736112548,4.0596156270265095e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,8.399404050067654e-07,-0.5439086545327099
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-1.153428736112548,4.0596156270265095e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,8.399404050067654e-07,-0.5439086545327099
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-1.1531212832315618,4.047229516558172e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,7.160793003233926e-07,-0.5436012016517238
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-1.2009749043093296,3.570514048309171e-05,0.04010308510268262,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,0.003359837872102582,-4.05107538216662e-06,-0.5914548227294916
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-0.744438033613783,2.9482615970749582e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,-1.0273599894508747e-05,-0.13491795203394497
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-0.7445393821431091,2.9484351716196604e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,-1.0271864149061726e-05,-0.13501930056327105
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-0.7441355929183755,2.9522697049185228e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,-1.0233518816073102e-05,-0.13461551133853744
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-0.7444504356244491,2.9478249228274636e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,-1.0277966636983693e-05,-0.13493035404461107
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-0.7443789740860209,2.948332670413612e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,-1.0272889161122209e-05,-0.13485889250618288
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-0.7443081228035391,2.950149168004713e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,-1.0254724185211199e-05,-0.13478804122370103
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-0.7445068146172262,2.947960689167198e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,-1.0276608973586349e-05,-0.13498673303738817
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-0.7443081228035391,2.950149168004713e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,-1.0254724185211199e-05,-0.13478804122370103
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-0.7443081228035391,2.950149168004713e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,-1.0254724185211199e-05,-0.13478804122370103
2018-09-01,0.0,0.0,111.59289237849265,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-0.7445068146172262,2.947960689167198e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,-1.0276608973586349e-05,-0.13498673303738817
2018-09-02,0.0,0.0,,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,,-0.7445068146172262,2.947960689167198e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,-1.0276608973586349e-05,-0.13498673303738817
2018-09-02,0.0,0.0,,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,,-0.7443081228035391,2.950149168004713e-05,,2018,0.03674324723058004,3.975621586525833e-05,-0.6095200815798381,,-1.0254724185211199e-05,-0.13478804122370103
