date,fire_count,total_frp,burned_area,year_x,fire_count_baseline,total_frp_baseline,burned_area_baseline,fire_anomaly,frp_anomaly,burn_anomaly,aerosol_index,no2,co,year_y,co_baseline,no2_baseline,aerosol_index_baseline,co_anomaly,no2_anomaly,ai_anomaly,fire_lag_0,frp_lag_0,fire_anomaly_lag_0,frp_anomaly_lag_0,fire_lag_1,frp_lag_1,fire_anomaly_lag_1,frp_anomaly_lag_1,fire_lag_2,frp_lag_2,fire_anomaly_lag_2,frp_anomaly_lag_2,fire_lag_3,frp_lag_3,fire_anomaly_lag_3,frp_anomaly_lag_3,fire_lag_4,frp_lag_4,fire_anomaly_lag_4,frp_anomaly_lag_4,fire_lag_5,frp_lag_5,fire_anomaly_lag_5,frp_anomaly_lag_5
2018-09-01,0.0,0.0,111.59289237849264,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,109.17793413345588,-1.2009749043093296,3.570514048309171e-05,0.0401030851026826,2018,0.03674324723058,3.975621586525833e-05,-0.6095200815798381,0.0033598378721025,-4.05107538216662e-06,-0.5914548227294916,0.0,0.0,-0.6369013179042109,-87.26615236258438,0.0,0.0,-0.6369013179042109,-87.26615236258438,0.0,0.0,-0.6369013179042109,-87.26615236258438,0.0,0.0,-0.6369013179042109,-87.26615236258438,0.0,0.0,-0.6369013179042109,-87.26615236258438,0.0,0.0,-0.6369013179042109,-87.26615236258438
2018-10-01,1.0,50.0,5374.365569798469,2018,0.6369013179042109,87.26615236258438,2.414958245036765,0.3630986820957891,-37.26615236258438,5371.950611553432,-0.7364290152561564,4.6854440714223154e-05,0.0326118979618739,2018,0.03674324723058,3.975621586525833e-05,-0.6095200815798381,-0.004131349268706,7.098224848964824e-06,-0.1269089336763184,1.0,50.0,0.3630986820957891,-37.26615236258438,1.0,50.0,0.3630986820957891,-37.26615236258438,1.0,50.0,0.3630986820957891,-37.26615236258438,1.0,50.0,0.3630986820957891,-37.26615236258438,1.0,50.0,0.3630986820957891,-37.26615236258438,1.0,50.0,0.3630986820957891,-37.26615236258438
2018-11-01,21.0,15677.0,14519.02561931433,2018,0.6369013179042109,87.26615236258438,2.414958245036765,20.36309868209579,15589.733847637415,14516.610661069291,-0.1484326703117511,6.26739774482492e-05,0.049850702458657,2018,0.03674324723058,3.975621586525833e-05,-0.6095200815798381,0.013107455228077,2.291776158299087e-05,0.4610874112680869,21.0,15677.0,20.36309868209579,15589.733847637415,21.0,15677.0,20.36309868209579,15589.733847637415,21.0,15677.0,20.36309868209579,15589.733847637415,21.0,15677.0,20.36309868209579,15589.733847637415,21.0,15677.0,20.36309868209579,15589.733847637415,21.0,15677.0,20.36309868209579,15589.733847637415
2018-12-01,0.0,0.0,6.847728997794118,2018,0.6369013179042109,87.26615236258438,2.414958245036765,-0.6369013179042109,-87.26615236258438,4.432770752757353,0.0479626004702476,7.313817735380889e-05,0.0373747917355443,2018,0.03674324723058,3.975621586525833e-05,-0.6095200815798381,0.0006315445049642,3.338196148855056e-05,0.6574826820500858,0.0,0.0,-0.6369013179042109,-87.26615236258438,0.0,0.0,-0.6369013179042109,-87.26615236258438,0.0,0.0,-0.6369013179042109,-87.26615236258438,0.0,0.0,-0.6369013179042109,-87.26615236258438,0.0,0.0,-0.6369013179042109,-87.26615236258438,0.0,0.0,-0.6369013179042109,-87.26615236258438
2019-09-01,0.0,0.0,330.662772359375,2019,2.31353262616522,646.2755384120861,5.046025983547794,-2.31353262616522,-646.2755384120861,325.61674637582723,-1.3563482391119457,3.083469474231034e-05,0.0436072661958031,2019,0.0367686227363061,4.528364607193054e-05,-0.4649428173698707,0.006838643459497,-1.4448951329620198e-05,-0.8914054217420748,0.0,0.0,-2.31353262616522,-646.2755384120861,0.0,0.0,-2.31353262616522,-646.2755384120861,0.0,0.0,-2.31353262616522,-646.2755384120861,0.0,0.0,-2.31353262616522,-646.2755384120861,0.0,0.0,-2.31353262616522,-646.2755384120861,0.0,0.0,-2.31353262616522,-646.2755384120861
2019-10-01,0.0,0.0,8315.33340393125,2019,2.31353262616522,646.2755384120861,5.046025983547794,-2.31353262616522,-646.2755384120861,8310.287377947703,-1.3505211530671244,3.4396586614377544e-05,0.0363924150879617,2019,0.0367686227363061,4.528364607193054e-05,-0.4649428173698707,-0.0003762076483443,-1.0887059457552996e-05,-0.8855783356972537,0.0,0.0,-2.31353262616522,-646.2755384120861,0.0,0.0,-2.31353262616522,-646.2755384120861,0.0,0.0,-2.31353262616522,-646.2755384120861,0.0,0.0,-2.31353262616522,-646.2755384120861,0.0,0.0,-2.31353262616522,-646.2755384120861,0.0,0.0,-2.31353262616522,-646.2755384120861
2019-11-01,39.0,3877.0,10854.04443821899,2019,2.31353262616522,646.2755384120861,5.046025983547794,36.68646737383478,3230.724461587914,10848.998412235444,0.0642017717613092,4.814874684634815e-05,0.0492944465108235,2019,0.0367686227363061,4.528364607193054e-05,-0.4649428173698707,0.0125258237745173,2.8651007744176062e-06,0.5291445891311799,39.0,3877.0,36.68646737383478,3230.724461587914,39.0,3877.0,36.68646737383478,3230.724461587914,39.0,3877.0,36.68646737383478,3230.724461587914,39.0,3877.0,36.68646737383478,3230.724461587914,39.0,3877.0,36.68646737383478,3230.724461587914,39.0,3877.0,36.68646737383478,3230.724461587914
2019-12-01,9.0,1990.0,174.83961250845587,2019,2.31353262616522,646.2755384120861,5.046025983547794,6.68646737383478,1343.724461587914,169.79358652490808,-1.4363972057842602,5.300610383558433e-05,0.03676276165217,2019,0.0367686227363061,4.528364607193054e-05,-0.4649428173698707,-5.861084136089823e-06,7.72245776365379e-06,-0.9714543884143896,9.0,1990.0,6.68646737383478,1343.724461587914,9.0,1990.0,6.68646737383478,1343.724461587914,9.0,1990.0,6.68646737383478,1343.724461587914,9.0,1990.0,6.68646737383478,1343.724461587914,9.0,1990.0,6.68646737383478,1343.724461587914,9.0,1990.0,6.68646737383478,1343.724461587914
2020-09-01,0.0,0.0,903.9798088963234,2020,1.380392156862745,264.71205400192866,69.665963390625,-1.380392156862745,-264.71205400192866,834.3138455056985,-1.91972221165675,2.2291724827838497e-05,0.0315944556129468,2020,0.0368934792945119,3.726492906205531e-05,-1.1082192844135068,-0.0052990236815651,-1.4973204234216812e-05,-0.8115029272432432,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866
2020-10-01,2.0,272.0,8567.395225064705,2020,1.380392156862745,264.71205400192866,69.665963390625,0.6196078431372549,7.287945998071336,8497.72926167408,-1.4246366831919255,4.690057239648225e-05,0.0364786323093568,2020,0.0368934792945119,3.726492906205531e-05,-1.1082192844135068,-0.0004148469851551,9.63564333442694e-06,-0.3164173987784189,2.0,272.0,0.6196078431372549,7.287945998071336,2.0,272.0,0.6196078431372549,7.287945998071336,2.0,272.0,0.6196078431372549,7.287945998071336,2.0,272.0,0.6196078431372549,7.287945998071336,2.0,272.0,0.6196078431372549,7.287945998071336,2.0,272.0,0.6196078431372549,7.287945998071336
