date,fire_count,total_frp,burned_area,fire_anomaly,frp_anomaly,burn_anomaly,co,no2,aerosol_index,co_anomaly,no2_anomaly,ai_anomaly,blh,wind_speed,temp_2m,rh,precip,year,blh_anomaly,ws_anomaly
2018-09-01,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.0401030851026826,3.286983888901877e-05,-0.8838974371520596,0.0033598378721025,-6.886376976239559e-06,-0.2743773555722215,1459.6,3.52,32.8,81.1,5.75,2018,-140.4,-0.68
2018-09-02,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.0388286266225061,2.7756658459339885e-05,-0.4813713804385895,0.002085379391926,-1.1999557405918444e-05,0.1281487011412485,1521.3,3.32,32.6,69.2,3.18,2018,-78.7,-0.88
2018-09-03,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.0393958377739153,3.04240323671783e-05,-0.6192557556784212,0.0026525905433352,-9.332183498080032e-06,-0.0097356740985831,1193.0,3.26,29.5,73.9,2.56,2018,-407.0,-0.94
2018-09-04,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.04096409532815,4.290453260430264e-05,-1.1140580380086134,0.00422084809757,3.148316739044309e-06,-0.5045379564287752,1143.2,3.64,28.7,68.7,0.0,2018,-456.8,-0.56
2018-09-05,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.0409189177860517,4.6860645057423934e-05,-1.4711502496032411,0.0041756705554717,7.104429192165604e-06,-0.861630168023403,1413.3,3.24,33.4,73.7,0.0,2018,-186.7,-0.96
2018-09-06,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.0413786563895234,4.151399831971599e-05,-1.5356699082805751,0.0046354091589434,1.7577824544576572e-06,-0.9261498267007372,1323.7,3.59,29.4,76.9,1.5,2018,-276.3,-0.61
2018-09-07,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.0395895512524821,3.133997096171675e-05,-0.8719034231121597,0.0028463040219021,-8.416244903541581e-06,-0.2623833415323217,1240.6,3.72,33.0,73.0,1.89,2018,-359.4,-0.48
2018-09-08,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.0384880027824076,2.927784112137403e-05,-0.7482983693353009,0.0017447555518275,-1.04783747438843e-05,-0.1387782877554629,1210.0,3.32,33.6,74.1,0.75,2018,-390.0,-0.88
2018-09-09,4.0,960.0,111.59289237849264,3.363098682095789,872.7338476374156,109.17793413345588,0.0383099272593535,3.503970665181363e-05,-1.196031792581481,0.0015666800287734,-4.716509213444699e-06,-0.586511711001643,1318.8,3.97,33.6,77.6,0.0,2018,-281.2,-0.23
2018-09-10,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.0389622730546255,3.5599932430061306e-05,-1.730915600294297,0.0022190258240454,-4.156283435197026e-06,-1.1213955187144589,1375.1,3.23,28.5,78.6,1.7,2018,-224.9,-0.97
2018-09-11,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.038845025881747,3.606648488078549e-05,-1.3194149143792209,0.002101778651167,-3.689730984472841e-06,-0.7098948327993827,1256.5,4.1,32.1,65.8,0.0,2018,-343.5,-0.1
2018-09-12,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.0378126933352757,3.331802504036923e-05,-0.3519099063867071,0.0010694461046956,-6.438190824889104e-06,0.2576101751931309,1390.9,3.82,34.6,71.8,0.0,2018,-209.1,-0.38
2018-09-13,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.0356110296174108,3.178708189849825e-05,-0.3991349431060564,-0.0011322176131691,-7.969133966760082e-06,0.2103851384737815,1587.8,3.36,31.4,63.5,0.0,2018,-12.2,-0.84
2018-09-14,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.0337915853894167,3.534082399814647e-05,-0.7538643769288742,-0.0029516618411632,-4.415391867111859e-06,-0.1443442953490362,1525.1,3.47,32.2,80.9,3.03,2018,-74.9,-0.73
2018-09-15,0.0,0.0,111.59289237849264,-0.6369013179042109,-87.26615236258438,109.17793413345588,0.0336387102061671,3.879622693530759e-05,-0.707207866518789,-0.0031045370244128,-9.599889299507395e-07,-0.097687784938951,1303.0,3.3,33.3,74.0,0.0,2018,-297.0,-0.9
